顺序号|收款户名|身份证号|手机号|收款银行|收款账号省份|收款账号地市|收款账号开户行|收款账号|收款金额
1|张三|320921198907235038|15201921718|中国工商银行|上海|上海|中国工商银行上海市天钥桥路支行|6222021207020987657|3.00
2|张三|320921198907235038|15201921719|中国农业银行|上海|上海|中国农业银行上海市桂林路支行|6228480030780338510|3.00
3|张三|320921198907235038|15201921719|中国农业银行|上海|上海|中国农业银行上海市桂林路支行|6228480030780338510|3.00
4|张三|320921198907235038|15201921718|中国工商银行|上海|上海|中国工商银行上海市天钥桥路支行|6222021207020987657|3.00
5|张三|32092119890723503x|15201921718|中国工商银行|上海|上海|中国工商银行上海市天钥桥路支行|6222021207020987657|3.00
6|张A|320921198907235037|15201921717|中国建设银行|江苏|苏州|中国建设银行苏州市某某支行|4213494220587026|3.00
7|张三|320921198907235036|15201921720|中国银行|江苏|南京|中国银行南京市某某支行|2213494220587026|3.00
8|张三|320921198907235038|15201921718|中国工商银行|上海|上海|中国工商银行上海市天钥桥路支行|6222021207020987657|3.00
9|张A|320921198907235037|15201921717|中国建设银行|江苏|苏州|中国建设银行苏州市某某支行|4213494220587026|300000.00
10|张三|320921198907235038|15201921718|中国某银行|上海|上海|中国工商银行上海市天钥桥路支行|6222021207020987657|3.00
11|张三|320921198907235038|15201921718|中国工商银行|某某某某某某某某某某某某某某|上海|中国工商银行上海市天钥桥路支行|6222021207020987657|3.00
12|张三|320921198907235038|15201921718|中国工商银行|上海|某某某某某某某某某某某某某某|中国工商银行上海市天钥桥路支行|6222021207020987657|3.00
13|张三|320921198907235038|15201921718|中国工商银行|上海|上海|中国工商银行上海支行|6222021207020987657|3.00
14|张三|320921198907235038|15201921718|中国工商银行|上海|上海|中国工商银行上海市天钥桥路支行|6222021207020987657|3.00
15|张三|320921198907235038|8615201921718|中国工商银行|上海|上海|中国工商银行上海市天钥桥路支行|6222021207020987657|3.00
16|张三|320921198907235038|15201921718|中国工商银行|上海|上海|中国工商银行上海市天钥桥路支行|6222021207020987657|3.00
17|张某某|320921198907235038|15201921718|中国工商银行|上海|上海|中国工商银行上海市天钥桥路支行|6222021207020987657|3.00
